UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used
AC,A,C1,0.0016611295681063123,7,5308
AC,A,C2,0.9983388704318937,7,5308
AC,B,C3,0.9993324432576769,7,5308
AC,B,C6,0.0006675567423230974,7,5308
AC,C,C7,0.9152206828677417,7,5308
AC,C,CR1,0.040862290862290866,7,5308
AC,C,CTS2,0.03551366492542963,7,5308
AC,C,CTS3,0.008403361344537815,7,5308
AC,D,CR2,0.006410256410256411,7,5308
AC,D,CR4,0.23018648018648022,7,5308
AC,D,CR4+,0.16666666666666666,7,5308
AC,D,CTS19,0.12791375291375293,7,5308
AC,D,CTS4,0.38548951048951047,7,5308
AC,D,CTS6,0.08333333333333333,7,5308
AC,E,CR10,0.0009818360333824251,7,5308
AC,E,CR5,0.03418040617251928,7,5308
AC,E,CTS10,0.8416684664897868,7,5308
AC,E,CTS13,0.0030522294081236257,7,5308
AC,E,CTS15,0.11482605660518268,7,5308
AC,E,CTSS7,0.005291005291005291,7,5308
AC,F,CR11,0.04331471073930548,7,5308
AC,F,CTS11,0.10878864340696655,7,5308
AC,F,CTS22,0.039225624131284505,7,5308
AC,F,CTSR6+,0.49579277119471116,7,5308
AC,F,CTSS8,0.3128782505277323,7,5308
AC,H,CTSS12+,1.0,7,5308
AL,A,2CC,0.008149010477299184,1,9871
AL,A,C1,0.008381839348079161,1,9871
AL,A,C2,0.9834691501746217,1,9871
AL,B,C3,0.9997371879106439,1,9871
AL,B,C4,0.00026281208935611036,1,9871
AL,C,C7,0.9492325855962219,1,9871
AL,C,CR1,0.0059031877213695395,1,9871
AL,C,CTS2,0.04250295159386069,1,9871
AL,C,CTS3,0.0023612750885478157,1,9871
AL,D,CR4,0.004739336492890996,1,9871
AL,D,CTS19,0.014218009478672985,1,9871
AL,D,CTS4,0.9383886255924171,1,9871
AL,D,CTS6,0.02843601895734597,1,9871
AL,D,CTSR1,0.004739336492890996,1,9871
AL,D,CTSS4,0.009478672985781991,1,9871
AL,E,CTS10,0.6714542190305207,1,9871
AL,E,CTS12,0.0017953321364452427,1,9871
AL,E,CTS13,0.0035906642728904853,1,9871
AL,E,CTS15,0.2908438061041293,1,9871
