UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used,vmda_group_share,scaled,share_scaled_by_vmda,fallback_all_umos
AC,A,C2,0.9983388704318937,7,5308,0.3175438596491228,0.317016378154689,0.31869371348884085,False
AC,A,C1,0.0016611295681063123,7,5308,0.3175438596491228,0.0005274814944337588,0.0005302724018117152,False
AC,B,C3,0.9993324432576769,7,5308,0.17719298245614035,0.1770746960860094,0.17801159923990362,False
AC,B,C6,0.0006675567423230974,7,5308,0.17719298245614035,0.00011828637013093481,0.0001189122239411514,False
AC,C,C7,0.9152206828677417,7,5308,0.11403508771929824,0.10436727085333897,0.10491947863563177,False
AC,C,CR1,0.040862290862290866,7,5308,0.11403508771929824,0.004659734922892818,0.004684389605024526,False
AC,C,CTS2,0.03551366492542963,7,5308,0.11403508771929824,0.004049803895005133,0.004071231428841139,False
AC,C,CTS3,0.008403361344537815,7,5308,0.11403508771929824,0.0009582780480613297,0.0009633483022838764,False
AC,D,CTS4,0.38548951048951047,7,5308,0.0824561403508772,0.03178597718071402,0.03195415695415695,False
AC,D,CR4,0.23018648018648022,7,5308,0.0824561403508772,0.018980288717130825,0.019080713525157972,False
AC,D,CR4+,0.16666666666666666,7,5308,0.0824561403508772,0.013742690058479532,0.013815402704291593,False
AC,D,CTS19,0.12791375291375293,7,5308,0.0824561403508772,0.010547274363063838,0.010603080047524494,False
AC,D,CTS6,0.08333333333333333,7,5308,0.0824561403508772,0.006871345029239766,0.0069077013521457965,False
AC,D,CR2,0.006410256410256411,7,5308,0.0824561403508772,0.0005285650022492129,0.0005313616424727538,False
AC,E,CTS10,0.8416684664897868,7,5308,0.17017543859649123,0.14323130043773563,0.14398913800618926,False
AC,E,CTS15,0.11482605660518268,7,5308,0.17017543859649123,0.01954057454509249,0.01964396382839986,False
AC,E,CR5,0.03418040617251928,7,5308,0.17017543859649123,0.005816665611814684,0.005847441620342804,False
AC,E,CTSS7,0.005291005291005291,7,5308,0.17017543859649123,0.000900399146013181,0.0009051631626587534,False
AC,E,CTS13,0.0030522294081236257,7,5308,0.17017543859649123,0.0005194144782245468,0.0005221627029770577,False
AC,E,CR10,0.0009818360333824251,7,5308,0.17017543859649123,0.0001670843776106934,0.00016796842193667592,False
AC,F,CTSR6+,0.49579277119471116,7,5308,0.06315789473684211,0.03131322765440281,0.03147890610760071,False
AC,F,CTSS8,0.3128782505277323,7,5308,0.06315789473684211,0.019760731612277833,0.01986528574779253,False
AC,F,CTS11,0.10878864340696655,7,5308,0.06315789473684211,0.006870861688861045,0.006907215454410575,False
AC,F,CR11,0.04331471073930548,7,5308,0.06315789473684211,0.0027356659414298195,0.002750140364400348,False
AC,F,CTS22,0.039225624131284505,7,5308,0.06315789473684211,0.0024774078398706,0.0024905158178593336,False
AC,H,CTSS12+,1.0,7,5308,0.07017543859649122,0.07017543859649122,0.07054673721340388,False
AL,A,C2,0.9834691501746217,1,9871,0.4921497135203512,0.4840140605145433,0.4840140605145433,False
AL,A,C1,0.008381839348079161,1,9871,0.4921497135203512,0.0041251198339307665,0.0041251198339307665,False
AL,A,2CC,0.008149010477299184,1,9871,0.4921497135203512,0.004010533171877134,0.004010533171877134,False
AL,B,C3,0.9997371879106439,1,9871,0.17947763970533523,0.17943047081185157,0.17943047081185157,False
AL,B,C4,0.00026281208935611036,1,9871,0.17947763970533523,4.716889348366234e-05,4.716889348366234e-05,False
AL,C,C7,0.9492325855962219,1,9871,0.09524518193317955,0.09040983031201458,0.09040983031201458,False
AL,C,CTS2,0.04250295159386069,1,9871,0.09524518193317955,0.0040482013572543845,0.0040482013572543845,False
AL,C,CR1,0.0059031877213695395,1,9871,0.09524518193317955,0.0005622501885075533,0.0005622501885075533,False
AL,C,CTS3,0.0023612750885478157,1,9871,0.09524518193317955,0.00022490007540302136,0.00022490007540302136,False
