stream,composition_group,stream_aadtt_dir,bridge,system,span_m,n_girders,load_effect,unit,lane_layout,governing_section,governing_girder,threshold_u,n_exceedances,max_observed_30d,gpd_shape_xi,gpd_scale_sigma,q117,q117_over_max_observed,tail_fraction_pct,ks_statistic,ks_critical,ks_pass,gpd_support_ok
SP,light,7499,C-10,two_span_continuous,10,2,M+,kN.m,3s,second_span_0.4L,1,528.042,1656,892.94,-2.14317e-10,47.1408,1219.741,1.366,3.258,0.02585,0.03342,True,True
SP,light,7499,C-10,two_span_continuous,10,2,M+,kN.m,3o,second_span_0.4L,1,532.781,1694,911.768,-1.13633e-10,46.2946,1213.113,1.3305,3.105,0.02798,0.03304,True,True
ROSSIGALI,,7019,C-10,two_span_continuous,10,2,M+,kN.m,2o,first_span_0.4L,1,476.493,2913,815.561,-9.75879e-10,43.3467,1137.002,1.3941,9.914,0.02701,0.0252,False,True
ROSSIGALI,,7019,C-10,two_span_continuous,10,2,M+,kN.m,2s,first_span_0.4L,1,469.434,2742,815.561,-2.18667e-10,41.9222,1105.7,1.3558,11.332,0.0326,0.02597,False,True
ROSSIGALI,,7019,C-10,two_span_continuous,10,2,M+,kN.m,3s,first_span_0.4L,1,469.434,2690,830.064,-1.51556e-10,43.9432,1135.532,1.368,11.62,0.0333,0.02622,False,True
ROSSIGALI,,7019,C-10,two_span_continuous,10,2,M+,kN.m,3o,first_span_0.4L,1,472.143,2787,815.561,-1.27384e-10,43.2253,1128.891,1.3842,11.136,0.02708,0.02576,False,True
MG,intermediate,6470,C-10,two_span_continuous,10,2,M-,kN.m,2o,central_support,1,568.478,2312,926.384,-1.02313e-10,42.9872,1213.576,1.31,3.445,0.02556,0.02828,True,True
MG,intermediate,6470,C-10,two_span_continuous,10,2,M-,kN.m,2s,central_support,1,559.707,1955,926.384,-1.13044e-10,41.4262,1174.432,1.2678,3.483,0.03248,0.03076,False,True
MG,intermediate,6470,C-10,two_span_continuous,10,2,M-,kN.m,3s,central_support,1,556.934,2241,977.667,-1.36024e-10,48.5819,1284.474,1.3138,4.179,0.0407,0.02873,False,True
MG,intermediate,6470,C-10,two_span_continuous,10,2,M-,kN.m,3o,central_support,1,560.579,2299,926.384,-1.4249e-10,46.2818,1254.857,1.3546,4.015,0.0328,0.02836,False,True
MT,heavy,4232,C-10,two_span_continuous,10,2,M-,kN.m,2o,central_support,1,568.478,3920,950.746,-0.0129207,44.7845,1198.816,1.2609,5.23,0.01235,0.02172,True,True
MT,heavy,4232,C-10,two_span_continuous,10,2,M-,kN.m,2s,central_support,1,559.707,3382,950.746,-0.00267772,42.8782,1206.07,1.2686,5.34,0.00985,0.02339,True,True
MT,heavy,4232,C-10,two_span_continuous,10,2,M-,kN.m,3s,central_support,1,556.934,3777,1000.061,-1.28003e-10,48.6609,1311.059,1.311,6.263,0.02354,0.02213,False,True
MT,heavy,4232,C-10,two_span_continuous,10,2,M-,kN.m,3o,central_support,1,560.579,3877,950.762,-3.79934e-10,48.1543,1308.112,1.3759,6.04,0.02142,0.02184,True,True
PB,light,2635,C-10,two_span_continuous,10,2,M-,kN.m,2o,central_support,1,568.478,200,867.987,-1.28996e-10,43.86,1119.324,1.2896,2.112,0.05119,0.09617,True,True
PB,light,2635,C-10,two_span_continuous,10,2,M-,kN.m,2s,central_support,1,559.707,200,817.985,-1.93484e-10,39.1437,1051.32,1.2853,2.498,0.04321,0.09617,True,True
PB,light,2635,C-10,two_span_continuous,10,2,M-,kN.m,3s,central_support,1,556.934,200,817.985,-0.0189263,42.2688,1029.419,1.2585,2.643,0.03417,0.09617,True,True
PB,light,2635,C-10,two_span_continuous,10,2,M-,kN.m,3o,central_support,1,560.579,200,817.985,-0.0135502,41.6485,1041.564,1.2733,2.472,0.03452,0.09617,True,True
PR,intermediate,7699,C-10,two_span_continuous,10,2,M-,kN.m,2o,central_support,1,568.478,3139,941.043,-3.79267e-09,43.2919,1231.386,1.3085,3.646,0.00976,0.02427,True,True
PR,intermediate,7699,C-10,two_span_continuous,10,2,M-,kN.m,2s,central_support,1,559.707,2397,900.045,-0.000766479,43.8699,1215.846,1.3509,3.341,0.01595,0.02778,True,True
PR,intermediate,7699,C-10,two_span_continuous,10,2,M-,kN.m,3s,central_support,1,556.934,2846,947.805,-1.189e-10,51.4895,1340.324,1.4141,4.158,0.01983,0.02549,True,True
PR,intermediate,7699,C-10,two_span_continuous,10,2,M-,kN.m,3o,central_support,1,560.579,3082,900.045,-2.3804e-10,49.3916,1315.984,1.4621,4.189,0.01364,0.0245,True,True
RJ,light,6230,C-10,two_span_continuous,10,2,M-,kN.m,2o,central_support,1,568.478,695,870.533,-1.62391e-10,46.5971,1211.74,1.392,2.167,0.02914,0.05159,True,True
RJ,light,6230,C-10,two_span_continuous,10,2,M-,kN.m,2s,central_support,1,559.707,634,870.533,-1.00141e-10,47.0679,1205.146,1.3844,2.352,0.02423,0.05401,True,True
RJ,light,6230,C-10,two_span_continuous,10,2,M-,kN.m,3s,central_support,1,556.934,713,870.533,-0.00992187,50.0294,1203.484,1.3825,2.779,0.02666,0.05093,True,True
RJ,light,6230,C-10,two_span_continuous,10,2,M-,kN.m,3o,central_support,1,560.579,703,892.101,-3.13159e-10,49.8278,1249.011,1.4001,2.562,0.02739,0.05129,True,True
SC,intermediate,8414,C-10,two_span_continuous,10,2,M-,kN.m,2o,central_support,1,568.478,2687,926.427,-1.67339e-10,42.5769,1213.818,1.3102,3.41,0.00934,0.02624,True,True
SC,intermediate,8414,C-10,two_span_continuous,10,2,M-,kN.m,2s,central_support,1,559.707,2127,869.684,-0.0222161,43.1322,1107.558,1.2735,3.246,0.02012,0.02949,True,True
SC,intermediate,8414,C-10,two_span_continuous,10,2,M-,kN.m,3s,central_support,1,556.934,2487,946.949,-1.13847e-10,49.065,1296.819,1.3695,3.96,0.0115,0.02727,True,True
SC,intermediate,8414,C-10,two_span_continuous,10,2,M-,kN.m,3o,central_support,1,560.579,2643,911.746,-0.0201868,49.5329,1206.762,1.3236,3.93,0.01604,0.02645,True,True
SP,light,7499,C-10,two_span_continuous,10,2,M-,kN.m,2o,central_support,1,568.478,1398,919.183,-1.40064e-10,43.3506,1197.22,1.3025,2.6,0.01837,0.03637,True,True
SP,light,7499,C-10,two_span_continuous,10,2,M-,kN.m,2s,central_support,1,559.707,1212,919.183,-1.47545e-10,42.0247,1163.22,1.2655,2.713,0.03048,0.03906,True,True
SP,light,7499,C-10,two_span_continuous,10,2,M-,kN.m,3s,central_support,1,556.934,1393,1002.492,-1.03338e-10,45.3582,1214.632,1.2116,3.264,0.02989,0.03644,True,True
SP,light,7499,C-10,two_span_continuous,10,2,M-,kN.m,3o,central_support,1,560.579,1440,1080.417,-2.48177e-10,46.3693,1234.477,1.1426,3.142,0.02602,0.03584,True,True
ROSSIGALI,,7019,C-10,two_span_continuous,10,2,M-,kN.m,2o,central_support,1,568.478,165,776.929,-1.25477e-10,25.7559,886.996,1.1417,0.405,0.05611,0.10588,True,True
ROSSIGALI,,7019,C-10,two_span_continuous,10,2,M-,kN.m,2s,central_support,1,559.707,116,776.929,-1.43845e-10,28.9617,907.667,1.1683,0.341,0.07222,0.12627,True,True
