stream,composition_group,stream_aadtt_dir,bridge,system,span_m,n_girders,load_effect,unit,lane_layout,governing_section,governing_girder,threshold_u,n_exceedances,max_observed_30d,gpd_shape_xi,gpd_scale_sigma,q117,q117_over_max_observed,tail_fraction_pct,ks_statistic,ks_critical,ks_pass,gpd_support_ok
PB,light,2635,C-20,two_span_continuous,20,2,M-,kN.m,2o,central_support,1,1384.051,200,1983.401,-0.0398183,96.2933,2335.71,1.1776,1.819,0.03673,0.09617,True,True
PB,light,2635,C-20,two_span_continuous,20,2,M-,kN.m,2s,central_support,1,1354.831,200,1803.412,-0.140361,102.4217,1959.345,1.0865,2.197,0.03144,0.09617,True,True
PB,light,2635,C-20,two_span_continuous,20,2,M-,kN.m,3s,central_support,1,1348.354,200,1803.412,-0.139103,103.2705,1961.361,1.0876,2.21,0.03614,0.09617,True,True
PB,light,2635,C-20,two_span_continuous,20,2,M-,kN.m,3o,central_support,1,1358.904,200,1803.412,-0.137884,105.8736,1990.855,1.1039,2.07,0.03778,0.09617,True,True
PR,intermediate,7699,C-20,two_span_continuous,20,2,M-,kN.m,2o,central_support,1,1384.051,3126,2236.102,-0.00371188,106.0159,2961.734,1.3245,3.091,0.01313,0.02432,True,True
PR,intermediate,7699,C-20,two_span_continuous,20,2,M-,kN.m,2s,central_support,1,1354.831,2388,2204.575,-0.00911093,98.774,2743.025,1.2442,2.986,0.01067,0.02783,True,True
PR,intermediate,7699,C-20,two_span_continuous,20,2,M-,kN.m,3s,central_support,1,1348.354,2862,2204.575,-1.03215e-10,116.7566,3125.407,1.4177,3.582,0.01997,0.02542,True,True
PR,intermediate,7699,C-20,two_span_continuous,20,2,M-,kN.m,3o,central_support,1,1358.904,3147,2300.618,-1.43883e-10,112.3115,3078.964,1.3383,3.587,0.01145,0.02424,True,True
RJ,light,6230,C-20,two_span_continuous,20,2,M-,kN.m,2o,central_support,1,1384.051,381,2122.062,-0.00862658,111.4354,2774.704,1.3076,0.988,0.02319,0.06967,True,True
RJ,light,6230,C-20,two_span_continuous,20,2,M-,kN.m,2s,central_support,1,1354.831,361,2122.062,-2.25772e-10,104.2595,2725.818,1.2845,1.165,0.03574,0.07158,True,True
RJ,light,6230,C-20,two_span_continuous,20,2,M-,kN.m,3s,central_support,1,1348.354,405,2122.062,-0.00688507,114.6687,2802.016,1.3204,1.328,0.02674,0.06758,True,True
RJ,light,6230,C-20,two_span_continuous,20,2,M-,kN.m,3o,central_support,1,1358.904,413,2122.062,-4.17421e-10,107.8805,2792.023,1.3157,1.242,0.04114,0.06692,True,True
SC,intermediate,8414,C-20,two_span_continuous,20,2,M-,kN.m,2o,central_support,1,1384.051,2075,2334.381,-0.0757315,112.8601,2392.089,1.0247,2.169,0.02128,0.02986,True,True
SC,intermediate,8414,C-20,two_span_continuous,20,2,M-,kN.m,2s,central_support,1,1354.831,1691,1948.823,-0.0636666,102.7294,2335.25,1.1983,2.254,0.01574,0.03307,True,True
SC,intermediate,8414,C-20,two_span_continuous,20,2,M-,kN.m,3s,central_support,1,1348.354,2005,2119.579,-0.00624014,115.8386,2992.768,1.412,2.683,0.01711,0.03037,True,True
SC,intermediate,8414,C-20,two_span_continuous,20,2,M-,kN.m,3o,central_support,1,1358.904,2221,2125.333,-0.00219705,109.9626,2977.904,1.4011,2.696,0.01574,0.02886,True,True
SP,light,7499,C-20,two_span_continuous,20,2,M-,kN.m,2o,central_support,1,1384.051,1058,2285.096,-1.063e-10,99.0137,2792.521,1.2221,1.596,0.02043,0.04181,True,True
SP,light,7499,C-20,two_span_continuous,20,2,M-,kN.m,2s,central_support,1,1354.831,916,2285.096,-1.14062e-10,93.6573,2673.609,1.17,1.771,0.01671,0.04494,True,True
SP,light,7499,C-20,two_span_continuous,20,2,M-,kN.m,3s,central_support,1,1348.354,1047,2285.096,-1.40554e-10,104.7609,2837.484,1.2417,2.041,0.01517,0.04203,True,True
SP,light,7499,C-20,two_span_continuous,20,2,M-,kN.m,3o,central_support,1,1358.904,1114,2572.604,-1.22056e-10,107.9922,2900.664,1.1275,1.961,0.03999,0.04075,True,True
ROSSIGALI,,7019,C-20,two_span_continuous,20,2,M-,kN.m,2o,central_support,1,1384.051,48,1765.677,-1.97045e-10,67.9127,2140.06,1.212,0.098,0.10678,0.1963,True,True
ROSSIGALI,,7019,C-20,two_span_continuous,20,2,M-,kN.m,2s,central_support,1,1354.831,31,1545.176,-0.216117,68.2388,1639.281,1.0609,0.077,0.07922,0.24426,True,True
ROSSIGALI,,7019,C-20,two_span_continuous,20,2,M-,kN.m,3s,central_support,1,1348.354,83,1637.554,-0.0832202,83.1118,1969.213,1.2025,0.21,0.08079,0.14928,True,True
ROSSIGALI,,7019,C-20,two_span_continuous,20,2,M-,kN.m,3o,central_support,1,1358.904,82,1630.564,-0.291957,107.8135,1715.938,1.0524,0.193,0.09003,0.15019,True,True
MG,intermediate,6470,C-20,two_span_continuous,20,2,V,kN,2o,central_support,1,485.247,2219,789.964,-0.00631582,37.3763,1018.987,1.2899,2.783,0.01024,0.02887,True,True
MG,intermediate,6470,C-20,two_span_continuous,20,2,V,kN,2s,central_support,1,476.839,1897,790.48,-1.07643e-10,36.0064,1010.054,1.2778,2.858,0.02196,0.03123,True,True
MG,intermediate,6470,C-20,two_span_continuous,20,2,V,kN,3s,central_support,1,475.851,2161,792.718,-1.02473e-10,42.6824,1113.491,1.4047,3.274,0.0308,0.02926,False,True
MG,intermediate,6470,C-20,two_span_continuous,20,2,V,kN,3o,central_support,1,478.472,2305,790.48,-1.45694e-10,40.9544,1092.939,1.3826,3.279,0.033,0.02833,False,True
MT,heavy,4232,C-20,two_span_continuous,20,2,V,kN,2o,central_support,1,485.247,4540,816.702,-0.0214457,39.2699,1008.204,1.2345,5.58,0.00717,0.02018,True,True
MT,heavy,4232,C-20,two_span_continuous,20,2,V,kN,2s,central_support,1,476.839,4176,816.702,-1.4525e-10,36.902,1052.436,1.2886,6.082,0.0098,0.02105,True,True
MT,heavy,4232,C-20,two_span_continuous,20,2,V,kN,3s,central_support,1,475.851,4416,854.602,-1.4635e-10,42.762,1145.241,1.3401,6.272,0.01881,0.02047,True,True
MT,heavy,4232,C-20,two_span_continuous,20,2,V,kN,3o,central_support,1,478.472,4639,854.933,-1.10683e-10,42.4526,1145.11,1.3394,6.287,0.0223,0.01997,False,True
PB,light,2635,C-20,two_span_continuous,20,2,V,kN,2o,central_support,1,485.247,200,751.015,-0.0229986,37.1029,889.97,1.185,1.665,0.05258,0.09617,True,True
PB,light,2635,C-20,two_span_continuous,20,2,V,kN,2s,central_support,1,476.839,200,647.29,-0.0817861,36.8297,765.934,1.1833,1.981,0.05292,0.09617,True,True
PB,light,2635,C-20,two_span_continuous,20,2,V,kN,3s,central_support,1,475.851,200,647.29,-0.109515,38.8492,740.935,1.1447,1.999,0.05203,0.09617,True,True
PB,light,2635,C-20,two_span_continuous,20,2,V,kN,3o,central_support,1,478.472,200,647.29,-0.0877892,38.6821,772.801,1.1939,1.89,0.04519,0.09617,True,True
PR,intermediate,7699,C-20,two_span_continuous,20,2,V,kN,2o,central_support,1,485.247,3126,809.461,-1.56494e-10,37.7029,1062.418,1.3125,3.025,0.00992,0.02432,True,True
PR,intermediate,7699,C-20,two_span_continuous,20,2,V,kN,2s,central_support,1,476.839,2468,809.461,-2.72845e-10,36.3164,1024.202,1.2653,2.879,0.01275,0.02738,True,True
PR,intermediate,7699,C-20,two_span_continuous,20,2,V,kN,3s,central_support,1,475.851,2966,832.138,-2.14778e-10,44.302,1151.715,1.384,3.478,0.02048,0.02497,True,True
PR,intermediate,7699,C-20,two_span_continuous,20,2,V,kN,3o,central_support,1,478.472,3161,809.461,-0.00493474,41.9348,1097.211,1.3555,3.467,0.0135,0.02419,True,True
RJ,light,6230,C-20,two_span_continuous,20,2,V,kN,2o,central_support,1,485.247,503,733.11,-0.0299119,41.106,941.3,1.284,1.215,0.02764,0.06064,True,True
RJ,light,6230,C-20,two_span_continuous,20,2,V,kN,2s,central_support,1,476.839,480,733.11,-0.0428476,40.7111,892.673,1.2177,1.389,0.01951,0.06208,True,True
RJ,light,6230,C-20,two_span_continuous,20,2,V,kN,3s,central_support,1,475.851,546,733.11,-0.0956015,47.3156,835.446,1.1396,1.611,0.01647,0.0582,True,True
RJ,light,6230,C-20,two_span_continuous,20,2,V,kN,3o,central_support,1,478.472,547,733.11,-0.0413548,43.619,931.337,1.2704,1.511,0.02228,0.05815,True,True
SC,intermediate,8414,C-20,two_span_continuous,20,2,V,kN,2o,central_support,1,485.247,2398,821.554,-0.0288535,36.8186,934.572,1.1376,2.448,0.01392,0.02777,True,True
SC,intermediate,8414,C-20,two_span_continuous,20,2,V,kN,2s,central_support,1,476.839,1910,695.219,-0.0219438,35.9191,931.159,1.3394,2.358,0.01207,0.03112,True,True
SC,intermediate,8414,C-20,two_span_continuous,20,2,V,kN,3s,central_support,1,475.851,2334,756.116,-0.0137809,42.7999,1056.404,1.3971,2.91,0.00736,0.02815,True,True
SC,intermediate,8414,C-20,two_span_continuous,20,2,V,kN,3o,central_support,1,478.472,2500,748.54,-0.0323448,41.7841,977.246,1.3055,2.908,0.01234,0.0272,True,True
SP,light,7499,C-20,two_span_continuous,20,2,V,kN,2o,central_support,1,485.247,1169,824.243,-1.17099e-10,35.8201,998.363,1.2112,1.689,0.02622,0.03978,True,True
SP,light,7499,C-20,two_span_continuous,20,2,V,kN,2s,central_support,1,476.839,1018,787.429,-1.00942e-10,35.5979,981.847,1.2469,1.785,0.01974,0.04263,True,True
SP,light,7499,C-20,two_span_continuous,20,2,V,kN,3s,central_support,1,475.851,1201,787.429,-0.00563196,40.4004,1032.855,1.3117,2.137,0.02008,0.03924,True,True
SP,light,7499,C-20,two_span_continuous,20,2,V,kN,3o,central_support,1,478.472,1253,933.673,-1.32162e-10,40.2285,1057.527,1.1327,2.077,0.02036,0.03842,True,True
ROSSIGALI,,7019,C-20,two_span_continuous,20,2,V,kN,2o,central_support,1,485.247,133,676.385,-1.22707e-10,25.7373,797.987,1.1798,0.274,0.08781,0.11793,True,True
ROSSIGALI,,7019,C-20,two_span_continuous,20,2,V,kN,2s,central_support,1,476.839,116,629.873,-1.04675e-10,24.2398,768.067,1.2194,0.285,0.06063,0.12627,True,True
ROSSIGALI,,7019,C-20,two_span_continuous,20,2,V,kN,3s,central_support,1,475.851,214,661.747,-0.0833261,40.0577,788.719,1.1919,0.539,0.05584,0.09297,True,True
ROSSIGALI,,7019,C-20,two_span_continuous,20,2,V,kN,3o,central_support,1,478.472,220,628.84,-0.0572684,39.8164,836.9,1.3309,0.522,0.04896,0.09169,True,True
MG,intermediate,6470,C-30,two_span_continuous,30,2,M+,kN.m,2o,second_span_0.4L,1,2960.469,2260,5163.678,-0.0227947,239.1001,5995.397,1.1611,2.329,0.01895,0.02861,True,True
MG,intermediate,6470,C-30,two_span_continuous,30,2,M+,kN.m,2s,first_span_0.4L,1,2940.273,1980,4932.597,-2.04345e-10,221.3548,6227.775,1.2626,2.356,0.01889,0.03056,True,True
MG,intermediate,6470,C-30,two_span_continuous,30,2,M+,kN.m,3s,first_span_0.4L,1,2934.275,2187,6046.625,-1.0139e-10,254.7978,6743.797,1.1153,2.571,0.02688,0.02908,True,True
MG,intermediate,6470,C-30,two_span_continuous,30,2,M+,kN.m,3o,first_span_0.4L,1,2949.536,2422,4932.597,-1.49597e-10,253.251,6761.78,1.3708,2.712,0.02242,0.02763,True,True
MT,heavy,4232,C-30,two_span_continuous,30,2,M+,kN.m,2o,second_span_0.4L,1,2960.469,4707,5343.817,-0.0371368,255.1578,5998.524,1.1225,5.251,0.01432,0.01982,True,True
MT,heavy,4232,C-30,two_span_continuous,30,2,M+,kN.m,2s,first_span_0.4L,1,2940.273,4354,4926.594,-1.04965e-10,228.7385,6517.68,1.323,5.674,0.01172,0.02061,True,True
MT,heavy,4232,C-30,two_span_continuous,30,2,M+,kN.m,3s,first_span_0.4L,1,2934.275,4554,4929.496,-1.11135e-10,261.9647,7043.095,1.4288,5.669,0.02277,0.02015,False,True
MT,heavy,4232,C-30,two_span_continuous,30,2,M+,kN.m,3o,first_span_0.4L,1,2949.536,4851,5546.694,-1.68778e-10,263.6378,7101.255,1.2803,5.813,0.01818,0.01953,True,True
PB,light,2635,C-30,two_span_continuous,30,2,M+,kN.m,2o,second_span_0.4L,1,2960.469,200,4751.935,-1.68905e-10,226.5989,5806.368,1.2219,1.161,0.03244,0.09617,True,True
PB,light,2635,C-30,two_span_continuous,30,2,M+,kN.m,2s,first_span_0.4L,1,2940.273,200,3981.318,-0.0820075,231.9777,4759.08,1.1954,1.326,0.04293,0.09617,True,True
PB,light,2635,C-30,two_span_continuous,30,2,M+,kN.m,3s,first_span_0.4L,1,2934.275,200,3981.318,-0.0743282,232.505,4832.477,1.2138,1.315,0.04926,0.09617,True,True
PB,light,2635,C-30,two_span_continuous,30,2,M+,kN.m,3o,first_span_0.4L,1,2949.536,200,3981.318,-0.0605597,231.841,4988.511,1.253,1.247,0.03589,0.09617,True,True
PR,intermediate,7699,C-30,two_span_continuous,30,2,M+,kN.m,2o,first_span_0.4L,1,3006.58,3248,5588.429,-0.014902,244.7822,6364.569,1.1389,2.582,0.01564,0.02386,True,True
PR,intermediate,7699,C-30,two_span_continuous,30,2,M+,kN.m,2s,first_span_0.4L,1,2940.273,2578,4945.501,-1.7901e-10,224.5195,6334.03,1.2808,2.398,0.01766,0.02679,True,True
PR,intermediate,7699,C-30,two_span_continuous,30,2,M+,kN.m,3s,first_span_0.4L,1,2934.275,2989,4945.501,-1.7663e-10,277.6947,7172.887,1.4504,2.753,0.02728,0.02488,False,True
PR,intermediate,7699,C-30,two_span_continuous,30,2,M+,kN.m,3o,first_span_0.4L,1,2949.536,3378,5040.643,-1.14072e-10,262.6009,6989.891,1.3867,2.98,0.01568,0.0234,True,True
RJ,light,6230,C-30,two_span_continuous,30,2,M+,kN.m,2o,first_span_0.4L,1,3006.58,503,4370.136,-0.040119,257.8848,5691.905,1.3025,0.873,0.02826,0.06064,True,True
RJ,light,6230,C-30,two_span_continuous,30,2,M+,kN.m,2s,first_span_0.4L,1,2940.273,500,4255.337,-0.0455731,243.3653,5390.758,1.2668,1.032,0.02901,0.06082,True,True
RJ,light,6230,C-30,two_span_continuous,30,2,M+,kN.m,3s,second_span_0.4L,1,2894.196,483,4589.641,-0.00310079,249.6194,6180.349,1.3466,1.044,0.02241,0.06188,True,True
RJ,light,6230,C-30,two_span_continuous,30,2,M+,kN.m,3o,first_span_0.4L,1,2949.536,576,4719.948,-0.0317464,262.2184,5848.545,1.2391,1.123,0.03022,0.05667,True,True
SC,intermediate,8414,C-30,two_span_continuous,30,2,M+,kN.m,2o,first_span_0.4L,1,3006.58,2446,4649.333,-0.0298728,233.9697,5844.631,1.2571,1.985,0.01265,0.0275,True,True
SC,intermediate,8414,C-30,two_span_continuous,30,2,M+,kN.m,2s,second_span_0.4L,1,2901.674,1848,4341.713,-0.00534269,212.403,5920.779,1.3637,1.796,0.00981,0.03164,True,True
SC,intermediate,8414,C-30,two_span_continuous,30,2,M+,kN.m,3s,first_span_0.4L,1,2934.275,2257,5094.482,-1.73158e-10,262.6139,6868.931,1.3483,2.126,0.0202,0.02863,True,True
SC,intermediate,8414,C-30,two_span_continuous,30,2,M+,kN.m,3o,first_span_0.4L,1,2949.536,2578,4971.889,-1.27566e-10,248.4339,6704.775,1.3485,2.327,0.01404,0.02679,True,True
SP,light,7499,C-30,two_span_continuous,30,2,M+,kN.m,2o,second_span_0.4L,1,2960.469,1183,4700.695,-0.014429,229.3268,5930.476,1.2616,1.295,0.01754,0.03954,True,True
SP,light,7499,C-30,two_span_continuous,30,2,M+,kN.m,2s,first_span_0.4L,1,2940.273,1044,4613.595,-5.22989e-10,212.6053,5961.754,1.2922,1.311,0.02768,0.04209,True,True
SP,light,7499,C-30,two_span_continuous,30,2,M+,kN.m,3s,first_span_0.4L,1,2934.275,1208,4613.595,-6.947e-10,242.4696,6415.556,1.3906,1.523,0.02803,0.03913,True,True
SP,light,7499,C-30,two_span_continuous,30,2,M+,kN.m,3o,second_span_0.4L,1,2918.528,1211,4832.787,-1.19683e-10,244.9303,6435.746,1.3317,1.503,0.0185,0.03908,True,True
ROSSIGALI,,7019,C-30,two_span_continuous,30,2,M+,kN.m,2o,first_span_0.4L,1,3006.58,177,3873.499,-2.39781e-10,162.3857,5026.175,1.2976,0.315,0.03124,0.10222,True,True
ROSSIGALI,,7019,C-30,two_span_continuous,30,2,M+,kN.m,2s,first_span_0.4L,1,2940.273,138,3873.499,-2.0261e-10,150.1697,4770.561,1.2316,0.294,0.04846,0.11577,True,True
ROSSIGALI,,7019,C-30,two_span_continuous,30,2,M+,kN.m,3s,second_span_0.4L,1,2894.196,219,4160.288,-0.0178862,226.5943,5459.459,1.3123,0.468,0.04272,0.0919,True,True
ROSSIGALI,,7019,C-30,two_span_continuous,30,2,M+,kN.m,3o,first_span_0.4L,1,2949.536,221,4239.923,-4.25713e-10,248.738,6098.32,1.4383,0.434,0.0476,0.09148,True,True
MG,intermediate,6470,C-30,two_span_continuous,30,2,M-,kN.m,2o,central_support,1,2034.583,2818,3897.615,-0.0210212,173.8992,4297.751,1.1027,5.934,0.01452,0.02562,True,True
MG,intermediate,6470,C-30,two_span_continuous,30,2,M-,kN.m,2s,central_support,1,1972.587,2028,3295.745,-5.8314e-10,152.1052,4235.256,1.2851,5.608,0.01786,0.0302,True,True
MG,intermediate,6470,C-30,two_span_continuous,30,2,M-,kN.m,3s,central_support,1,1974.971,2547,4045.555,-1.16363e-10,200.1691,4998.234,1.2355,7.202,0.02346,0.02695,True,True
MG,intermediate,6470,C-30,two_span_continuous,30,2,M-,kN.m,3o,central_support,1,1991.928,3062,3362.402,-1.42684e-10,192.7445,4938.547,1.4688,7.592,0.0285,0.02458,False,True
MT,heavy,4232,C-30,two_span_continuous,30,2,M-,kN.m,2o,central_support,1,2034.583,5810,3528.629,-0.0767823,191.5148,3794.669,1.0754,9.656,0.02249,0.01784,False,True
MT,heavy,4232,C-30,two_span_continuous,30,2,M-,kN.m,2s,central_support,1,1972.587,4620,3286.449,-0.0022046,155.4546,4371.324,1.3301,9.39,0.00791,0.02001,True,True
MT,heavy,4232,C-30,two_span_continuous,30,2,M-,kN.m,3s,central_support,1,1974.971,5103,3778.231,-1.33131e-10,209.8905,5290.917,1.4004,10.834,0.03523,0.01904,False,True
MT,heavy,4232,C-30,two_span_continuous,30,2,M-,kN.m,3o,central_support,1,1991.928,5980,3710.617,-3.217e-10,204.521,5255.479,1.4163,11.59,0.03168,0.01759,False,True
PB,light,2635,C-30,two_span_continuous,30,2,M-,kN.m,2o,central_support,1,2034.583,200,3115.15,-1.32144e-10,138.5809,3775.047,1.2118,3.315,0.04814,0.09617,True,True
PB,light,2635,C-30,two_span_continuous,30,2,M-,kN.m,2s,central_support,1,1972.587,200,2577.87,-0.147792,153.0964,2846.597,1.1042,4.036,0.04854,0.09617,True,True
PB,light,2635,C-30,two_span_continuous,30,2,M-,kN.m,3s,central_support,1,1974.971,200,2577.87,-0.163165,157.9592,2818.341,1.0933,4.195,0.04122,0.09617,True,True
PB,light,2635,C-30,two_span_continuous,30,2,M-,kN.m,3o,central_support,1,1991.928,200,2657.572,-0.111215,159.9347,3074.224,1.1568,3.894,0.04831,0.09617,True,True
PR,intermediate,7699,C-30,two_span_continuous,30,2,M-,kN.m,2o,central_support,1,2034.583,4617,3703.112,-1.39992e-10,177.2761,4817.53,1.3009,7.195,0.01984,0.02002,True,True
PR,intermediate,7699,C-30,two_span_continuous,30,2,M-,kN.m,2s,central_support,1,1972.587,2807,3581.011,-1.97013e-10,160.8574,4417.739,1.2337,5.849,0.01573,0.02567,True,True
PR,intermediate,7699,C-30,two_span_continuous,30,2,M-,kN.m,3s,central_support,1,1974.971,3793,3629.807,-1.1083e-10,217.5755,5347.779,1.4733,7.989,0.02224,0.02208,False,True
PR,intermediate,7699,C-30,two_span_continuous,30,2,M-,kN.m,3o,central_support,1,1991.928,4697,3632.052,-2.26574e-10,202.7871,5178.838,1.4259,8.631,0.02753,0.01984,False,True
RJ,light,6230,C-30,two_span_continuous,30,2,M-,kN.m,2o,central_support,1,2034.583,479,3004.468,-0.0220062,171.2911,4026.565,1.3402,2.464,0.0311,0.06214,True,True
RJ,light,6230,C-30,two_span_continuous,30,2,M-,kN.m,2s,central_support,1,1972.587,410,3004.468,-1.22381e-10,155.3165,4034.73,1.3429,2.78,0.03626,0.06717,True,True
RJ,light,6230,C-30,two_span_continuous,30,2,M-,kN.m,3s,central_support,1,1974.971,516,3141.863,-1.01251e-10,169.718,4267.348,1.3582,3.559,0.02774,0.05987,True,True
RJ,light,6230,C-30,two_span_continuous,30,2,M-,kN.m,3o,central_support,1,1991.928,567,3032.458,-1.42009e-10,164.7809,4233.151,1.3959,3.437,0.02858,0.05711,True,True
SC,intermediate,8414,C-30,two_span_continuous,30,2,M-,kN.m,2o,central_support,1,2034.583,3304,3472.267,-1.75266e-10,183.6866,4856.7,1.3987,5.77,0.01832,0.02366,True,True
SC,intermediate,8414,C-30,two_span_continuous,30,2,M-,kN.m,2s,central_support,1,1972.587,2016,3270.406,-1.03237e-10,161.6738,4376.636,1.3383,4.758,0.02302,0.03029,True,True
SC,intermediate,8414,C-30,two_span_continuous,30,2,M-,kN.m,3s,central_support,1,1974.971,2799,3696.579,-0.0204835,212.918,4755.637,1.2865,6.623,0.01956,0.02571,True,True
SC,intermediate,8414,C-30,two_span_continuous,30,2,M-,kN.m,3o,central_support,1,1991.928,3376,3356.726,-0.00776121,198.3765,4868.832,1.4505,6.932,0.01292,0.02341,True,True
SP,light,7499,C-30,two_span_continuous,30,2,M-,kN.m,2o,central_support,1,2034.583,1549,3383.756,-1.94322e-10,162.8161,4412.713,1.3041,4.425,0.01797,0.03456,True,True
SP,light,7499,C-30,two_span_continuous,30,2,M-,kN.m,2s,central_support,1,1972.587,1028,3321.736,-3.13101e-10,151.0492,4116.919,1.2394,4.021,0.02008,0.04242,True,True
SP,light,7499,C-30,two_span_continuous,30,2,M-,kN.m,3s,central_support,1,1974.971,1359,3321.736,-1.02723e-10,182.8885,4622.351,1.3915,5.316,0.02222,0.03689,True,True
SP,light,7499,C-30,two_span_continuous,30,2,M-,kN.m,3o,central_support,1,1991.928,1601,3371.688,-1.5372e-10,177.4801,4590.105,1.3614,5.411,0.01785,0.03399,True,True
ROSSIGALI,,7019,C-30,two_span_continuous,30,2,M-,kN.m,2o,central_support,1,2034.583,199,2935.86,-1.17908e-10,153.7981,3965.392,1.3507,0.794,0.08465,0.09641,True,True
ROSSIGALI,,7019,C-30,two_span_continuous,30,2,M-,kN.m,2s,central_support,1,1972.587,86,2914.561,-1.3231e-10,176.9882,4046.043,1.3882,0.47,0.05203,0.14665,True,True
ROSSIGALI,,7019,C-30,two_span_continuous,30,2,M-,kN.m,3s,central_support,1,1974.971,287,3007.275,-0.00434604,180.3784,4241.298,1.4103,1.595,0.04091,0.08028,True,True
ROSSIGALI,,7019,C-30,two_span_continuous,30,2,M-,kN.m,3o,central_support,1,1991.928,301,2914.561,-0.0594699,180.5378,3623.796,1.2433,1.434,0.04293,0.07839,True,True
MG,intermediate,6470,C-30,two_span_continuous,30,2,V,kN,2o,central_support,1,593.784,2184,989.648,-0.0131818,45.1339,1206.203,1.2188,2.942,0.01034,0.0291,True,True
MG,intermediate,6470,C-30,two_span_continuous,30,2,V,kN,2s,central_support,1,579.52,2018,989.648,-1.3452e-10,42.368,1209.563,1.2222,3.261,0.0171,0.03027,True,True
MG,intermediate,6470,C-30,two_span_continuous,30,2,V,kN,3s,central_support,1,578.616,2259,1216.823,-1.26212e-10,49.0031,1312.857,1.0789,3.688,0.02467,0.02861,True,True
MG,intermediate,6470,C-30,two_span_continuous,30,2,V,kN,3o,central_support,1,582.716,2381,989.648,-1.52059e-10,48.6887,1314.807,1.3286,3.653,0.02437,0.02787,True,True
MT,heavy,4232,C-30,two_span_continuous,30,2,V,kN,2o,central_support,1,593.784,4818,1080.088,-0.0320844,48.346,1191.274,1.1029,6.086,0.00813,0.01959,True,True
MT,heavy,4232,C-30,two_span_continuous,30,2,V,kN,2s,central_support,1,579.52,4739,956.388,-0.00569172,44.3309,1246.316,1.3031,7.08,0.00724,0.01976,True,True
MT,heavy,4232,C-30,two_span_continuous,30,2,V,kN,3s,central_support,1,578.616,5009,996.177,-1.16829e-10,51.2497,1387.329,1.3927,7.342,0.023,0.01922,False,True
MT,heavy,4232,C-30,two_span_continuous,30,2,V,kN,3o,central_support,1,582.716,5202,1082.184,-1.59132e-10,51.0608,1390.378,1.2848,7.275,0.02078,0.01886,False,True
PB,light,2635,C-30,two_span_continuous,30,2,V,kN,2o,central_support,1,593.784,200,938.805,-0.00423814,43.4675,1125.426,1.1988,1.842,0.03682,0.09617,True,True
PB,light,2635,C-30,two_span_continuous,30,2,V,kN,2s,central_support,1,579.52,200,761.835,-0.139466,48.3515,866.06,1.1368,2.187,0.036,0.09617,True,True
PB,light,2635,C-30,two_span_continuous,30,2,V,kN,3s,central_support,1,578.616,200,761.835,-0.121405,47.2604,883.159,1.1593,2.218,0.04011,0.09617,True,True
PB,light,2635,C-30,two_span_continuous,30,2,V,kN,3o,central_support,2,487.968,200,697.986,-1.03703e-10,35.7732,937.251,1.3428,2.677,0.05096,0.09617,True,True
PR,intermediate,7699,C-30,two_span_continuous,30,2,V,kN,2o,central_support,1,593.784,3113,986.729,-0.00113203,44.9155,1275.26,1.2924,3.288,0.01419,0.02438,True,True
PR,intermediate,7699,C-30,two_span_continuous,30,2,V,kN,2s,central_support,1,579.52,2625,956.539,-2.50774e-10,42.9617,1229.69,1.2856,3.321,0.01289,0.02654,True,True
PR,intermediate,7699,C-30,two_span_continuous,30,2,V,kN,3s,central_support,1,578.616,3075,974.776,-1.37293e-10,53.3178,1393.949,1.43,3.916,0.02843,0.02453,False,True
PR,intermediate,7699,C-30,two_span_continuous,30,2,V,kN,3o,central_support,1,582.716,3349,972.892,-1.23776e-10,50.6321,1361.3,1.3992,4.011,0.01964,0.0235,True,True
RJ,light,6230,C-30,two_span_continuous,30,2,V,kN,2o,central_support,1,593.784,409,870.382,-0.0171356,46.4196,1144.927,1.3154,1.099,0.02755,0.06725,True,True
RJ,light,6230,C-30,two_span_continuous,30,2,V,kN,2s,central_support,1,579.52,424,823.081,-0.0485334,46.9673,1040.031,1.2636,1.367,0.02183,0.06605,True,True
RJ,light,6230,C-30,two_span_continuous,30,2,V,kN,3s,central_support,1,578.616,455,957.001,-1.38784e-10,48.1992,1223.578,1.2786,1.503,0.02585,0.06376,True,True
RJ,light,6230,C-30,two_span_continuous,30,2,V,kN,3o,central_support,1,582.716,486,930.618,-1.38926e-10,46.8789,1213.1,1.3035,1.503,0.02548,0.06169,True,True
SC,intermediate,8414,C-30,two_span_continuous,30,2,V,kN,2o,central_support,1,593.784,2201,889.931,-0.0390282,44.8785,1102.276,1.2386,2.487,0.00815,0.02899,True,True
SC,intermediate,8414,C-30,two_span_continuous,30,2,V,kN,2s,central_support,1,579.52,1853,872.254,-0.0289147,42.9881,1096.71,1.2573,2.51,0.01153,0.03159,True,True
SC,intermediate,8414,C-30,two_span_continuous,30,2,V,kN,3s,central_support,1,578.616,2215,979.231,-1.18357e-10,50.6018,1335.816,1.3641,3.03,0.02246,0.0289,True,True
SC,intermediate,8414,C-30,two_span_continuous,30,2,V,kN,3o,central_support,1,582.716,2366,969.437,-0.0258673,50.1214,1206.861,1.2449,3.039,0.01174,0.02796,True,True
SP,light,7499,C-30,two_span_continuous,30,2,V,kN,2o,central_support,1,593.784,1111,917.406,-1.00497e-10,42.7793,1204.41,1.3128,1.79,0.01474,0.0408,True,True
