bridge,effort,cen,uf,effect,rule,Q117,n_tail,tail_threshold
S-10,V,cen6,PR,CORTANTE_APOIO_INICIO_LONG_1,q90,650.4415207614869,1512,309.0270963891696
S-10,V,cen8,MG,CORTANTE_APOIO_INICIO_LONG_1,q90,688.6282552793668,1373,308.67539644060685
S-10,V,cen8,MT,CORTANTE_APOIO_INICIO_LONG_1,q90,624.6910118562803,1729,308.2044090777845
S-10,V,cen8,PB,CORTANTE_APOIO_INICIO_LONG_1,q90,589.8099528589623,200,295.7824959819974
S-10,V,cen8,RJ,CORTANTE_APOIO_INICIO_LONG_1,q90,680.2577301713445,546,307.8755265204849
S-10,V,cen8,SP,CORTANTE_APOIO_INICIO_LONG_1,q90,705.3039307151628,1026,307.17045877565084
S-10,V,cen8,SC,CORTANTE_APOIO_INICIO_LONG_1,q90,678.2983782075739,1551,310.51888951486234
S-10,V,cen8,PR,CORTANTE_APOIO_INICIO_LONG_1,q90,676.8670104286606,1696,308.5518925065972
S-10,V,cen2,MG,CORTANTE_APOIO_INICIO_LONG_1,q925,677.4465825829668,1220,311.75643589802274
S-10,V,cen2,MT,CORTANTE_APOIO_INICIO_LONG_1,q925,650.4244505394886,1531,312.4036723426839
S-10,V,cen2,PB,CORTANTE_APOIO_INICIO_LONG_1,q925,632.34128561768,200,298.82885632320347
S-10,V,cen2,RJ,CORTANTE_APOIO_INICIO_LONG_1,q925,615.8313794009707,483,311.1907395801491
S-10,V,cen2,SP,CORTANTE_APOIO_INICIO_LONG_1,q925,652.997317511863,904,309.7375291955897
S-10,V,cen2,SC,CORTANTE_APOIO_INICIO_LONG_1,q925,716.4736665410599,1378,312.7211151081528
S-10,V,cen2,PR,CORTANTE_APOIO_INICIO_LONG_1,q925,662.6162449944686,1530,311.92407915784383
S-10,V,cen4,MG,CORTANTE_APOIO_INICIO_LONG_1,q925,686.1607791949674,949,310.913998937418
S-10,V,cen4,MT,CORTANTE_APOIO_INICIO_LONG_1,q925,617.67162089935,1229,310.3486639320483
S-10,V,cen4,PB,CORTANTE_APOIO_INICIO_LONG_1,q925,603.2291244495389,200,295.18979476473527
S-10,V,cen4,RJ,CORTANTE_APOIO_INICIO_LONG_1,q925,628.5992769513587,382,311.8686121259382
S-10,V,cen4,SP,CORTANTE_APOIO_INICIO_LONG_1,q925,639.1884247230521,696,309.33313056454347
S-10,V,cen4,SC,CORTANTE_APOIO_INICIO_LONG_1,q925,685.4659532045976,1041,311.48735946671235
S-10,V,cen4,PR,CORTANTE_APOIO_INICIO_LONG_1,q925,648.110573160291,1144,309.7610824599827
S-10,V,cen6,MG,CORTANTE_APOIO_INICIO_LONG_1,q925,723.2037360079327,934,315.83211960200777
S-10,V,cen6,MT,CORTANTE_APOIO_FIM_LONG_1,q925,624.1858920062284,984,312.7509007311412
S-10,V,cen6,PB,CORTANTE_APOIO_INICIO_LONG_1,q925,596.9553188337395,200,294.7409859027533
S-10,V,cen6,RJ,CORTANTE_APOIO_INICIO_LONG_1,q925,619.7228587334221,372,315.93511362598184
S-10,V,cen6,SP,CORTANTE_APOIO_INICIO_LONG_1,q925,639.3107275953829,693,314.71269633096705
S-10,V,cen6,SC,CORTANTE_APOIO_INICIO_LONG_1,q925,667.7813357450369,1040,319.02698363074944
S-10,V,cen6,PR,CORTANTE_APOIO_INICIO_LONG_1,q925,644.4754541183402,1134,317.1352419117088
S-10,V,cen8,MG,CORTANTE_APOIO_INICIO_LONG_1,q925,683.3278586112704,1030,315.7275103995705
S-10,V,cen8,MT,CORTANTE_APOIO_INICIO_LONG_1,q925,616.4688703969491,1297,315.4895904222568
S-10,V,cen8,PB,CORTANTE_APOIO_INICIO_LONG_1,q925,589.8099528589623,200,295.7824959819974
S-10,V,cen8,RJ,CORTANTE_APOIO_INICIO_LONG_1,q925,681.5868255717724,409,315.76809714107264
S-10,V,cen8,SP,CORTANTE_APOIO_INICIO_LONG_1,q925,701.4651213717431,770,313.8680150773115
S-10,V,cen8,SC,CORTANTE_APOIO_INICIO_LONG_1,q925,676.7467389531291,1163,317.9678130139732
S-10,V,cen8,PR,CORTANTE_APOIO_INICIO_LONG_1,q925,676.1326206680665,1272,316.22898519117905
S-10,V,cen2,MG,CORTANTE_APOIO_INICIO_LONG_1,q95,670.3398787460732,814,321.3067725887018
S-10,V,cen2,MT,CORTANTE_APOIO_INICIO_LONG_1,q95,641.8133484846899,1021,321.06694785223226
S-10,V,cen2,PB,CORTANTE_APOIO_INICIO_LONG_1,q95,632.34128561768,200,298.82885632320347
S-10,V,cen2,RJ,CORTANTE_APOIO_INICIO_LONG_1,q95,601.5677952235046,322,321.4457666959322
S-10,V,cen2,SP,CORTANTE_APOIO_INICIO_LONG_1,q95,636.7162287164641,603,319.07367955188846
S-10,V,cen2,SC,CORTANTE_APOIO_INICIO_LONG_1,q95,715.1256806282579,919,322.2204446863656
S-10,V,cen2,PR,CORTANTE_APOIO_INICIO_LONG_1,q95,652.7136775736893,1020,321.8564722807565
S-10,V,cen4,MG,CORTANTE_APOIO_INICIO_LONG_1,q95,674.1750634226437,633,319.84414909041584
S-10,V,cen4,MT,CORTANTE_APOIO_INICIO_LONG_1,q95,605.0514030355299,819,319.07535739254274
S-10,V,cen4,PB,CORTANTE_APOIO_INICIO_LONG_1,q95,603.2291244495389,200,295.18979476473527
S-10,V,cen4,RJ,CORTANTE_APOIO_INICIO_LONG_1,q95,613.8662216498849,255,321.9024040238581
