bridge,bridge_slug,effort,model,rule,Q117,ratio_tb45,selected_uf,selected_cen,selected_effect,relative_to_q90_pct
S-30,lb30,M+,Weibull3P,q90,9454.502013494057,1.5366927287271934,PR,cen6,MOMENTO_MEIO_VAO_LONG_1,0.0
S-30,lb30,M+,Weibull3P,q925,9351.690425925937,1.5199821903170967,MT,cen8,MOMENTO_MEIO_VAO_LONG_1,-1.0874352495919948
S-30,lb30,M+,Weibull3P,q95,9213.13011611978,1.4974612135099197,SP,cen6,MOMENTO_MEIO_VAO_LONG_1,-2.5529837217208806
S-30,lb30,M+,Weibull3P,frac058,9856.714032389897,1.6020664823063626,SP,cen8,MOMENTO_MEIO_VAO_LONG_1,4.254185131292765
S-30,lb30,M+,GPD,q90,11602.870192188719,1.8858789422492839,PR,cen6,MOMENTO_MEIO_VAO_LONG_1,22.723229373988985
S-30,lb30,M+,GumbelDailyMax,block,8331.038896310201,1.3540900278439987,PR,cen6,MOMENTO_MEIO_VAO_LONG_1,-11.882837568603598
S-40,lb40_5lg,V,Weibull3P,q85,765.9405147523146,1.6986926474879456,SP,cen8,CORTANTE_APOIO_INICIO_LONG_1,-1.444762196228
S-40,lb40_5lg,V,Weibull3P,q90,777.1687551272894,1.7235944890824781,SP,cen8,CORTANTE_APOIO_INICIO_LONG_1,0.0
S-40,lb40_5lg,V,Weibull3P,q925,782.8564682542001,1.7362086233182525,SP,cen8,CORTANTE_APOIO_INICIO_LONG_1,0.7318504622563227
S-40,lb40_5lg,V,Weibull3P,q95,778.4825069354015,1.7265081103025095,SP,cen8,CORTANTE_APOIO_INICIO_LONG_1,0.16904331259393057
S-40,lb40_5lg,V,Weibull3P,frac058,764.0731533114035,1.6945512382155767,PR,cen2,CORTANTE_APOIO_INICIO_LONG_1,-1.685039668603372
S-40,lb40_5lg,V,GPD,q90,877.7380656632974,1.9466357632807663,SP,cen2,CORTANTE_APOIO_INICIO_LONG_1,12.940472693030003
S-40,lb40_5lg,V,GumbelDailyMax,block,648.5454827562419,1.438335512877006,SP,cen8,CORTANTE_APOIO_INICIO_LONG_1,-16.550237193977367
S-40,lb40_5lg,M+,Weibull3P,q85,6724.556197094924,1.5504729420799437,MT,cen6,MOMENTO_MEIO_VAO_LONG_1,0.8306212472543484
S-40,lb40_5lg,M+,Weibull3P,q90,6669.1607310492855,1.5377004752136878,MT,cen6,MOMENTO_MEIO_VAO_LONG_1,0.0
S-40,lb40_5lg,M+,Weibull3P,q925,6644.632925968133,1.532045128304197,MT,cen6,MOMENTO_MEIO_VAO_LONG_1,-0.36777948635964286
S-40,lb40_5lg,M+,Weibull3P,q95,6783.986312876594,1.5641756733477654,SP,cen8,MOMENTO_MEIO_VAO_LONG_1,1.7217396079947545
S-40,lb40_5lg,M+,Weibull3P,frac058,7625.30668364455,1.7581579128091465,SP,cen8,MOMENTO_MEIO_VAO_LONG_1,14.336825743961779
S-40,lb40_5lg,M+,GPD,q90,7911.986747875753,1.8242573950049001,MT,cen8,MOMENTO_MEIO_VAO_LONG_1,18.635418562343297
S-40,lb40_5lg,M+,GumbelDailyMax,block,5677.066577523241,1.3089545035907035,MT,cen6,MOMENTO_MEIO_VAO_LONG_1,-14.875847104826857
S-50,lb50_5lg,V,Weibull3P,q85,836.527969972427,1.6309767400515247,MT,cen6,CORTANTE_APOIO_INICIO_LONG_1,-0.1205523468212566
S-50,lb50_5lg,V,Weibull3P,q90,837.5376412544706,1.6329452939256592,MT,cen6,CORTANTE_APOIO_INICIO_LONG_1,0.0
S-50,lb50_5lg,V,Weibull3P,q925,836.8348542858806,1.6315750717213504,MT,cen6,CORTANTE_APOIO_INICIO_LONG_1,-0.08391109055556623
S-50,lb50_5lg,V,Weibull3P,q95,832.8316444445787,1.62377002231347,SP,cen6,CORTANTE_APOIO_INICIO_LONG_1,-0.5618848130626297
S-50,lb50_5lg,V,Weibull3P,frac058,818.107181067679,1.5950617685078554,MT,cen6,CORTANTE_APOIO_INICIO_LONG_1,-2.319950678000393
S-50,lb50_5lg,V,GPD,q90,991.2185823086497,1.9325766861155191,SP,cen4,CORTANTE_APOIO_INICIO_LONG_1,18.349138412930866
S-50,lb50_5lg,V,GumbelDailyMax,block,823.7121445933835,1.6059897535452985,MT,cen6,CORTANTE_APOIO_INICIO_LONG_1,-1.6507313797119783
S-50,lb50_5lg,M+,Weibull3P,q85,9584.499954974968,1.5583285838509013,MT,cen8,MOMENTO_MEIO_VAO_LONG_1,0.5111522552250669
S-50,lb50_5lg,M+,Weibull3P,q90,9535.757714365192,1.5504036605747813,MT,cen8,MOMENTO_MEIO_VAO_LONG_1,0.0
