bridge,variant,paper_effort,worst_cen,effect,unit,n_peaks,mean,std,skewness,kurtosis,weibull_k,weibull_alpha,weibull_u,N_TR117,Q_TR117,R_TR117,N_TR174,Q_TR174,R_TR174
lb10,mg,M+,cen6,MOMENTO_MEIO_VAO_LONG_1,kN.m,8334,702.159471422693,70.3326372672407,1.6297876563313882,6.159519895363597,1.1463644285686314,84.4312144959197,621.7316700652724,11863449.0,1584.819112549222,0.019388788679958635,17643078.0,1605.2571931474477,0.019448473000709413
lb10,mg,V,cen2,CORTANTE_APOIO_INICIO_LONG_1,kN,3538,309.06236230999434,23.748616672415245,2.204057675552882,10.04444695109939,0.9375000590458511,21.60136546855861,286.8120566160935,5036343.0,686.8831877435994,0.0361627686757379,7489946.0,697.8673828074046,0.03610160269392322
lb10,mt,M+,cen8,MOMENTO_MEIO_VAO_LONG_1,kN.m,5374,816.9017467480066,65.30244836990182,1.530941809226157,6.559099021641446,1.1949153143912552,82.52435458200351,739.1891981415843,7649889.0,1572.6141959930903,0.022725078791058725,11376758.0,1590.0433370976627,0.02281694061777806
lb10,mt,V,cen4,CORTANTE_APOIO_INICIO_LONG_1,kN,7441,309.9141571115453,23.04151169806315,2.1034536953813263,9.33619590945431,0.9669888097792865,21.949752841552836,287.6369934847644,10592263.5,678.0814160885266,0.04006116257100129,15752597.0,687.992418575719,0.040028025905806744
lb10,orig,M+,cen2,MOMENTO_MEIO_VAO_LONG_1,kN.m,4611,649.7307073331499,52.58910733303302,2.0716821539435655,9.018984875701676,0.9768220218829811,50.844135471943964,598.3646675523912,6563758.5,1450.3534765313136,0.01799700576002108,9761487.0,1472.4126708861163,0.01798634617268491
lb10,orig,V,cen8,CORTANTE_APOIO_INICIO_LONG_1,kN,2375,317.64243085905275,27.07504335050096,1.790352766588469,7.2350855115546,1.0767466936260464,29.972288642249122,288.51146154436935,3380812.5,659.9497992902071,0.043580336531662496,5027875.0,669.0482016693767,0.043661351729571474
lb10,pb,M+,cen4,MOMENTO_MEIO_VAO_LONG_1,kN.m,2003,658.5186164279137,52.52840329331903,2.2900520294020246,10.994971635792972,0.9141223971731961,45.96189111628653,610.5607442103558,2851270.5,1490.853622317647,0.015434468609613146,4240351.0,1516.5995814095827,0.015396305727653558
lb10,pb,V,cen4,CORTANTE_APOIO_INICIO_LONG_1,kN,1628,293.8657252664053,22.531242592612262,2.251358800330452,10.77605708511067,0.924443971645087,20.0599388080237,273.056474050537,2317458.0,639.1941756636793,0.03700420263560509,3446476.0,649.9312526687888,0.036923479832849916
lb10,pr,M+,cen2,MOMENTO_MEIO_VAO_LONG_1,kN.m,3406,708.9628855469502,55.88631525846217,2.063695205538364,8.92753102075745,0.9793353808112444,54.23412786512996,654.2349464639982,4848441.0,1538.7044666951529,0.01704530547231103,7210502.0,1561.9946576775228,0.017036152766432663
lb10,pr,V,cen4,CORTANTE_APOIO_INICIO_LONG_1,kN,4094,305.66612685643105,24.252321918070223,2.074850459253191,8.993846270745292,0.9758296665735542,23.4129241317261,282.0020784626232,5827809.0,672.4013719567658,0.038938652825878446,8666998.0,682.5970396127839,0.03891439652058256
lb10,rj,M+,cen8,MOMENTO_MEIO_VAO_LONG_1,kN.m,1159,763.4474281182969,66.32787413643152,1.8963920869126338,7.9557735324189345,1.036139953508973,69.70592305244583,694.7347299253922,1649836.5,1604.1923323373126,0.016310351394382146,2453603.0,1628.513775990653,0.016325915404018006
lb10,rj,V,cen6,CORTANTE_APOIO_INICIO_LONG_1,kN,587,351.62810016703736,28.04552300300196,2.1241937470739414,10.466731985202086,0.9607086688280104,26.46120828498811,324.69096554563794,835594.5,726.2043727083068,0.032626870934216096,1242679.0,738.3757947189889,0.03258860980733709
