bridge_label,family,span_m,effort,uf,gov_cen,gov_effect,gov_girder,Q141,Q117,Q174,weibull_k,weibull_alpha,weibull_u,unit,n_peaks,source
S-10,S,10,M+,sc,cen2,MOMENTO_MEIO_VAO_LONG_1,1,1742.6,1728.0,1759.0,0.8962,51.466,730.79,kN.m,1079,2lg
S-10,S,10,M+,sp,cen8,MOMENTO_MEIO_VAO_LONG_1,1,1552.2,1541.1,1564.6,1.0018,59.54,730.322,kN.m,615,2lg
C-20,C,20,V,mg,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,1159.6,1150.8,1169.5,0.9496,38.554,433.569,kN,6601,2lg
C-20,C,20,V,mt,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,1,1197.7,1189.0,1207.5,0.9716,41.612,459.358,kN,7379,2lg
C-20,C,20,V,pb,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,1,951.0,944.1,958.8,0.9755,33.899,423.927,kN,1201,2lg
C-20,C,20,V,pr,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,1182.4,1173.7,1192.3,0.9663,41.175,433.327,kN,8529,2lg
C-20,C,20,V,rj,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,1,1030.5,1023.0,1038.9,1.0044,40.604,402.958,kN,3621,2lg
C-20,C,20,V,sc,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,1104.6,1096.9,1113.3,0.9982,41.073,426.136,kN,8020,2lg
C-20,C,20,V,sp,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,1,1168.6,1159.0,1179.4,0.8967,33.532,422.334,kN,6032,2lg
C-20,C,20,M+,mg,cen6,MOMENTO_(+)_FIM_LONG_1,1,3701.5,3673.0,3733.7,0.9449,122.467,1287.358,kN.m,10724,2lg
C-20,C,20,M+,mt,cen6,MOMENTO_(+)_FIM_LONG_1,1,3801.5,3772.7,3834.0,0.9475,125.182,1379.886,kN.m,9060,2lg
C-20,C,20,M+,pb,cen2,MOMENTO_(+)_INICIO_LONG_1,1,3039.6,3017.5,3064.6,0.9756,108.186,1257.895,kN.m,2793,2lg
C-20,C,20,M+,pr,cen6,MOMENTO_(+)_INICIO_LONG_1,1,3881.8,3852.0,3915.5,0.9433,127.137,1319.015,kN.m,14090,2lg
C-20,C,20,M+,rj,cen8,MOMENTO_(+)_INICIO_LONG_1,1,3504.6,3477.5,3535.1,0.9492,118.443,1255.321,kN.m,7380,2lg
C-20,C,20,M+,sc,cen6,MOMENTO_(+)_INICIO_LONG_1,1,3680.2,3653.5,3710.3,0.979,131.808,1296.499,kN.m,14342,2lg
C-20,C,20,M+,sp,cen8,MOMENTO_(+)_INICIO_LONG_1,1,3611.0,3584.0,3641.5,0.9571,122.202,1278.3,kN.m,11740,2lg
C-20,C,20,M-,mg,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,3259.7,3234.7,3287.9,0.9321,102.031,1237.407,kN.m,6228,2lg
C-20,C,20,M-,mt,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,3471.7,3445.7,3501.0,0.9417,110.461,1326.246,kN.m,7278,2lg
C-20,C,20,M-,pb,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,2459.8,2445.0,2476.4,1.0965,109.88,1204.576,kN.m,1100,2lg
C-20,C,20,M-,pr,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,3172.3,3149.9,3197.5,0.9852,113.097,1234.013,kN.m,7990,2lg
C-20,C,20,M-,rj,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,2385.5,2374.6,2397.7,1.5581,241.187,986.65,kN.m,3050,2lg
C-20,C,20,M-,sc,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,3019.1,2998.7,3042.1,1.0177,116.793,1198.216,kN.m,7473,2lg
C-20,C,20,M-,sp,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,3098.0,3075.0,3123.9,0.9693,109.361,1176.484,kN.m,5681,2lg
S-20,S,20,V,mg,cen6,CORTANTE_APOIO_INICIO_LONG_1,1,1091.9,1083.6,1101.3,0.9417,35.445,407.331,kN,6674,2lg
S-20,S,20,V,mt,cen6,CORTANTE_APOIO_INICIO_LONG_1,1,1091.0,1083.1,1099.8,0.9766,38.394,422.43,kN,6906,2lg
S-20,S,20,V,pb,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,914.5,907.6,922.4,0.9537,31.255,395.538,kN,1250,2lg
