bridge_label,family,span_m,effort,uf,gov_cen,gov_effect,gov_girder,Q141,Q117,Q174,weibull_k,weibull_alpha,weibull_u,unit,n_peaks,source
S-50,S,50,V,mg,cen6,CORTANTE_APOIO_INICIO_LONG_1,1,744.7,740.3,749.7,1.0692,29.835,412.393,kN,303,5lg
S-50,S,50,V,mt,cen6,CORTANTE_APOIO_INICIO_LONG_1,1,843.5,837.5,850.2,0.9593,27.355,414.859,kN,706,5lg
S-50,S,50,V,pb,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,751.1,745.1,757.8,0.9284,24.553,370.273,kN,200,5lg
S-50,S,50,V,pr,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,788.6,783.6,794.2,1.0349,30.252,411.674,kN,473,5lg
S-50,S,50,V,rj,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,723.6,719.0,728.7,1.0704,31.049,388.833,kN,200,5lg
S-50,S,50,V,sc,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,736.4,732.0,741.4,1.0464,27.533,409.877,kN,349,5lg
S-50,S,50,V,sp,cen6,CORTANTE_APOIO_INICIO_LONG_1,1,840.1,832.8,848.2,0.8807,24.218,404.261,kN,200,5lg
S-50,S,50,M+,mg,cen6,MOMENTO_MEIO_VAO_LONG_1,1,8745.4,8676.6,8823.1,0.9096,254.674,3303.529,kN.m,6343,5lg
S-50,S,50,M+,mt,cen8,MOMENTO_MEIO_VAO_LONG_1,1,9613.4,9535.8,9701.1,0.9001,274.995,3495.263,kN.m,7136,5lg
S-50,S,50,M+,pb,cen2,MOMENTO_MEIO_VAO_LONG_1,1,7162.8,7109.9,7222.5,0.9575,241.008,3228.747,kN.m,1150,5lg
S-50,S,50,M+,pr,cen6,MOMENTO_MEIO_VAO_LONG_1,1,8722.1,8658.0,8794.3,0.961,294.546,3292.614,kN.m,8142,5lg
S-50,S,50,M+,rj,cen8,MOMENTO_MEIO_VAO_LONG_1,1,6805.6,6767.5,6848.5,1.2474,439.333,2841.191,kN.m,3310,5lg
S-50,S,50,M+,sc,cen6,MOMENTO_MEIO_VAO_LONG_1,1,7962.0,7908.6,8022.1,1.0156,303.067,3205.102,kN.m,7593,5lg
S-50,S,50,M+,sp,cen6,MOMENTO_MEIO_VAO_LONG_1,1,7999.9,7941.1,8066.1,0.9621,271.535,3145.917,kN.m,5324,5lg
