bridge,bridge_slug,composition,volume,aadtt_dir,n_periods,requested_veh_day,realized_veh_day,realized_over_requested,max_lane_veh_day,cap_utilisation,cycles_per_vehicle,elapsed_min,min_headway_fired_frac,veh_day_min,veh_day_max
S-10,lb10,mg,mg,6470.0,30,12571.025530256626,12587.633333333333,1.0013211175998915,6470.01999415901,0.43133466627726735,0.9325793305069261,29.6993738849999,0.0002806987810787837,12447.0,12679.0
S-10,lb10,mg,p25,502.0,30,978.557267480515,982.3,1.0038247455145077,501.9998652037399,0.033466657680249326,0.9987783772778174,2.4560429016666605,0.0,956.0,1018.0
S-10,lb10,mg,p50,1092.0,30,2128.654580151845,2134.4,1.0026990850942783,1091.9997118334093,0.07279998078889395,0.9913168415792104,5.211193233333566,0.0,2100.0,2167.0
S-10,lb10,mg,pb,2635.0,30,5095.996480017541,5103.2,1.0014135645522333,2634.9978956614027,0.17566652637742686,0.9748719757537754,10.179529001666378,1.9595547891519047e-05,5027.0,5172.0
S-10,lb10,mg,sc,8414.0,30,16422.972977110592,16437.266666666666,1.0008703472614853,8413.999961046296,0.5609333307364197,0.9108022826179535,28.7472676450001,0.0006773226692191321,16292.0,16570.0
S-10,lb10,mt,mg,6470.0,30,12571.025530256626,12568.366666666667,0.9997884927062188,6470.01999415901,0.43133466627726735,0.9194299975334902,27.294306468333524,0.000469432517086548,12499.0,12684.0
S-10,lb10,mt,p25,502.0,30,978.557267480515,980.6666666666666,1.0021556216036112,501.9998652037399,0.033466657680249326,0.9959891230455472,2.1322493583337443,0.0,950.0,1012.0
S-10,lb10,mt,p50,1092.0,30,2128.654580151845,2127.133333333333,0.9992853482041208,1091.9997118334093,0.07279998078889395,0.9882314225718495,4.344523096667399,0.0,2076.0,2158.0
S-10,lb10,mt,pb,2635.0,30,5095.996480017541,5094.2,0.9996474722805273,2634.9978956614027,0.17566652637742686,0.9679112192951461,10.343814449999627,1.963016764163166e-05,5011.0,5142.0
S-10,lb10,mt,sc,8414.0,30,16422.972977110592,16419.3,0.9997763512662591,8413.999961046296,0.5609333307364197,0.8934708950239454,33.74117780666663,0.0012079280683910602,16270.0,16578.0
S-10,lb10,pb,mg,6470.0,30,12571.025530256626,12579.4,1.0006661723598618,6470.01999415901,0.43133466627726735,0.9412478602583059,16.183212523333108,0.00020403728847692788,12480.0,12722.0
S-10,lb10,pb,p25,502.0,30,978.557267480515,979.7666666666667,1.0012359002649538,501.9998652037399,0.033466657680249326,0.9973803286496785,0.41312088500029254,0.0,945.0,1007.0
S-10,lb10,pb,p50,1092.0,30,2128.654580151845,2129.4333333333334,1.0003658429078863,1091.9997118334093,0.07279998078889395,0.9919696945979368,2.680055526666547,0.0,2076.0,2159.0
S-10,lb10,pb,pb,2635.0,30,5095.996480017541,5099.066666666667,1.0006024703237462,2634.9978956614027,0.17566652637742686,0.9768192871898125,6.329871864999829,0.0,5020.0,5189.0
S-10,lb10,pb,sc,8414.0,30,16422.972977110592,16429.666666666668,1.0004075808664732,8413.999961046296,0.5609333307364197,0.922443141471728,20.91086836499938,0.00042808740286879427,16307.0,16610.0
S-20,lb20,mg,mg,6470.0,30,12571.025530256626,12587.333333333334,1.001297253198433,6470.01999415901,0.43133466627726735,0.8948148932789577,28.049773708332697,0.00044753985488056776,12452.0,12683.0
S-20,lb20,mg,p25,502.0,30,978.557267480515,982.3,1.0038247455145077,501.9998652037399,0.033466657680249326,0.9926023957378941,2.6373154799992333,0.0,956.0,1018.0
S-20,lb20,mg,p50,1092.0,30,2128.654580151845,2134.4,1.0026990850942783,1091.9997118334093,0.07279998078889395,0.9814155422288856,5.9921407550008245,0.0,2100.0,2167.0
S-20,lb20,mg,pb,2635.0,30,5095.996480017541,5103.2,1.0014135645522333,2634.9978956614027,0.17566652637742686,0.9578107853895594,11.88181691666614,1.9595547891519047e-05,5027.0,5172.0
S-20,lb20,mg,sc,8414.0,30,16422.972977110592,16437.066666666666,1.0008581691984586,8413.999961046296,0.5609333307364197,0.8610822693424618,33.634239053334504,0.0010200522396534662,16294.0,16575.0
S-20,lb20,mt,mg,6470.0,30,12571.025530256626,12567.3,0.9997036415010327,6470.01999415901,0.43133466627726735,0.882202223230129,33.40157503666681,0.0006949251894466858,12492.0,12674.0
S-20,lb20,mt,p25,502.0,30,978.557267480515,980.6666666666666,1.0021556216036112,501.9998652037399,0.033466657680249326,0.9924541128484025,2.5900951866674102,0.0,950.0,1012.0
S-20,lb20,mt,p50,1092.0,30,2128.654580151845,2127.133333333333,0.9992853482041208,1091.9997118334093,0.07279998078889395,0.9813050427805811,5.475305450000451,0.0,2076.0,2158.0
S-20,lb20,mt,pb,2635.0,30,5095.996480017541,5094.166666666667,0.9996409311980397,2634.9978956614027,0.17566652637742686,0.9529527237035825,13.022173931666718,2.617372812039915e-05,5011.0,5142.0
S-20,lb20,mt,sc,8414.0,30,16422.972977110592,16416.4,0.9995997693523729,8413.999961046296,0.5609333307364197,0.8444624481209847,42.893502729999696,0.0016893675430260796,16276.0,16566.0
S-20,lb20,pb,mg,6470.0,30,12571.025530256626,12578.933333333332,1.000629049957593,6470.01999415901,0.43133466627726735,0.904642153017744,18.982779671666744,0.0002888427211634267,12480.0,12722.0
S-20,lb20,pb,p25,502.0,30,978.557267480515,979.7666666666667,1.0012359002649538,501.9998652037399,0.033466657680249326,0.9925832681250638,1.4691512883335236,0.0,945.0,1007.0
S-20,lb20,pb,p50,1092.0,30,2128.654580151845,2129.4333333333334,1.0003658429078863,1091.9997118334093,0.07279998078889395,0.9835950096269743,3.1914011083334723,0.0,2076.0,2159.0
S-20,lb20,pb,pb,2635.0,30,5095.996480017541,5099.1,1.000609011406234,2634.9978956614027,0.17566652637742686,0.9604832225294659,7.559913741666484,6.5371013185333355e-06,5020.0,5189.0
S-20,lb20,pb,sc,8414.0,30,16422.972977110592,16427.533333333333,1.0002776815275223,8413.999961046296,0.5609333307364197,0.8740021833263667,24.86300237999967,0.0007345391679822087,16299.0,16610.0
S-30,lb30,mg,mg,6470.0,30,12571.025530256626,12586.733333333334,1.0012495243955157,6470.01999415901,0.43133466627726735,0.8578000116524807,37.02378505833282,0.0005826240327116911,12452.0,12680.0
S-30,lb30,mg,p25,502.0,30,978.557267480515,982.3,1.0038247455145077,501.9998652037399,0.033466657680249326,0.9895483389324374,2.7501708599998285,0.0,956.0,1018.0
S-30,lb30,mg,p50,1092.0,30,2128.654580151845,2134.4,1.0026990850942783,1091.9997118334093,0.07279998078889395,0.9759495252373813,5.923039883333209,0.0,2100.0,2167.0
S-30,lb30,mg,pb,2635.0,30,5095.996480017541,5103.2,1.0014135645522333,2634.9978956614027,0.17566652637742686,0.9436497361132884,14.21459223333368,3.265924648586508e-05,5027.0,5172.0
S-30,lb30,mg,sc,8414.0,30,16422.972977110592,16434.233333333334,1.0006856466389147,8413.999961046296,0.5609333307364197,0.8116127514314632,48.87601577833338,0.001527299721921923,16295.0,16573.0
S-30,lb30,mt,mg,6470.0,30,12571.025530256626,12566.233333333334,0.9996187902958468,6470.01999415901,0.43133466627726735,0.8459946894720508,50.20407508166657,0.000960245313498874,12486.0,12673.0
S-30,lb30,mt,p25,502.0,30,978.557267480515,980.6666666666666,1.0021556216036112,501.9998652037399,0.033466657680249326,0.990210740992522,3.746869100000913,0.0,950.0,1012.0
S-30,lb30,mt,p50,1092.0,30,2128.654580151845,2127.133333333333,0.9992853482041208,1091.9997118334093,0.07279998078889395,0.975522612592848,9.972224606667442,0.0,2076.0,2158.0
S-30,lb30,mt,pb,2635.0,30,5095.996480017541,5094.133333333333,0.9996343901155518,2634.9978956614027,0.17566652637742686,0.9389428362037376,22.4604423916661,4.580432392817882e-05,5011.0,5142.0
S-30,lb30,mt,sc,8414.0,30,16422.972977110592,16415.133333333335,0.9995226416198709,8413.999961046296,0.5609333307364197,0.7951016744711181,66.58328382833328,0.002209343410755116,16279.0,16565.0
S-30,lb30,pb,mg,6470.0,30,12571.025530256626,12577.833333333334,1.000541547152245,6470.01999415901,0.43133466627726735,0.8669272662223223,27.109785108332776,0.00046907920018021123,12485.0,12722.0
S-30,lb30,pb,p25,502.0,30,978.557267480515,979.7666666666667,1.0012359002649538,501.9998652037399,0.033466657680249326,0.9900656618922873,1.9605306199994326,0.0,945.0,1007.0
S-30,lb30,pb,p50,1092.0,30,2128.654580151845,2129.4333333333334,1.0003658429078863,1091.9997118334093,0.07279998078889395,0.9778657858898299,4.269493508332137,0.0,2076.0,2159.0
S-30,lb30,pb,pb,2635.0,30,5095.996480017541,5099.1,1.000609011406234,2634.9978956614027,0.17566652637742686,0.9464415288972564,10.914818828333713,6.5371013185333355e-06,5020.0,5189.0
S-30,lb30,pb,sc,8414.0,30,16422.972977110592,16424.233333333334,1.0000767434875828,8413.999961046296,0.5609333307364197,0.8245113419804476,36.154459063333825,0.0011527681657388371,16296.0,16613.0
S-50,lb50_5lg,mg,mg,6470.0,30,12571.025530256626,12584.9,1.0011036863866023,6470.01999415901,0.43133466627726735,0.7817808113956672,30.27704835333449,0.001144228400702429,12454.0,12672.0
S-50,lb50_5lg,mg,p25,502.0,30,978.557267480515,982.3,1.0038247455145077,501.9998652037399,0.033466657680249326,0.9847636499372222,2.178192301666422,0.0,956.0,1018.0
S-50,lb50_5lg,mg,p50,1092.0,30,2128.654580151845,2134.4,1.0026990850942783,1091.9997118334093,0.07279998078889395,0.9640023738130935,4.720063861666616,0.0,2100.0,2167.0
S-50,lb50_5lg,mg,pb,2635.0,30,5095.996480017541,5102.866666666667,1.0013481537273554,2634.9978956614027,0.17566652637742686,0.9148387181061626,11.598255133332957,5.8790483780358755e-05,5027.0,5172.0
S-50,lb50_5lg,mg,sc,8414.0,30,16422.972977110592,16428.433333333334,1.0003324828111422,8413.999961046296,0.5609333307364197,0.708602767965296,39.81183533833294,0.002838574585119701,16294.0,16552.0
S-50,lb50_5lg,mt,mg,6470.0,30,12571.025530256626,12561.766666666666,0.9992634758741302,6470.01999415901,0.43133466627726735,0.7690133818756916,39.92932651666609,0.0016505109419322655,12464.0,12674.0
S-50,lb50_5lg,mt,p25,502.0,30,978.557267480515,980.6666666666666,1.0021556216036112,501.9998652037399,0.033466657680249326,0.9842284160435079,2.970156031667284,0.0,950.0,1012.0
S-50,lb50_5lg,mt,p50,1092.0,30,2128.654580151845,2127.133333333333,0.9992853482041208,1091.9997118334093,0.07279998078889395,0.9640517754724669,6.747659373333348,0.0,2076.0,2158.0
S-50,lb50_5lg,mt,pb,2635.0,30,5095.996480017541,5093.966666666666,0.9996016847031127,2634.9978956614027,0.17566652637742686,0.9102663935767149,15.845274879999488,7.198057833122845e-05,5011.0,5142.0
S-50,lb50_5lg,mt,sc,8414.0,30,16422.972977110592,16410.833333333332,0.9992608132647981,8413.999961046296,0.5609333307364197,0.6918925506525161,60.79966617499934,0.0037881480729193115,16268.0,16536.0
S-50,lb50_5lg,pb,mg,6470.0,30,12571.025530256626,12574.766666666666,1.000297599937335,6470.01999415901,0.43133466627726735,0.7923672539980862,23.733361334999547,0.0010179115318243149,12485.0,12706.0
S-50,lb50_5lg,pb,p25,502.0,30,978.557267480515,979.7666666666667,1.0012359002649538,501.9998652037399,0.033466657680249326,0.9844180587214643,1.6684618899998895,0.0,945.0,1007.0
S-50,lb50_5lg,pb,p50,1092.0,30,2128.654580151845,2129.4333333333334,1.0003658429078863,1091.9997118334093,0.07279998078889395,0.9657655401280466,3.757347116666885,0.0,2076.0,2159.0
S-50,lb50_5lg,pb,pb,2635.0,30,5095.996480017541,5098.9,1.000569764911307,2634.9978956614027,0.17566652637742686,0.9182634162924029,10.444787041666375,4.576150411526669e-05,5020.0,5189.0
S-50,lb50_5lg,pb,sc,8414.0,30,16422.972977110592,16417.766666666666,0.9996829861163882,8413.999961046296,0.5609333307364197,0.722030808087986,36.41923243833371,0.0023592327823719426,16290.0,16584.0
C-20,lc20,mg,mg,6470.0,30,12571.025530256626,12586.266666666666,1.001212401993247,6470.01999415901,0.43133466627726735,0.8205054186044048,53.77449373000054,0.0008501329491403328,12452.0,12674.0
C-20,lc20,mg,p25,502.0,30,978.557267480515,982.3,1.0038247455145077,501.9998652037399,0.033466657680249326,0.9873426312396077,4.208924136666853,0.0,956.0,1018.0
C-20,lc20,mg,p50,1092.0,30,2128.654580151845,2134.4,1.0026990850942783,1091.9997118334093,0.07279998078889395,0.9699837581209395,8.995569844999652,0.0,2100.0,2167.0
C-20,lc20,mg,pb,2635.0,30,5095.996480017541,5102.9,1.001354694809843,2634.9978956614027,0.17566652637742686,0.9291709942712314,22.161401930000043,5.225786644195784e-05,5027.0,5172.0
C-20,lc20,mg,sc,8414.0,30,16422.972977110592,16432.033333333333,1.0005516879456215,8413.999961046296,0.5609333307364197,0.7610074630650295,71.84047115666641,0.002150271522493666,16295.0,16566.0
C-20,lc20,mt,mg,6470.0,30,12571.025530256626,12565.933333333332,0.9995949258943881,6470.01999415901,0.43133466627726735,0.8068667137074312,80.45741626999953,0.0012706311774161887,12480.0,12679.0
C-20,lc20,mt,p25,502.0,30,978.557267480515,980.6666666666666,1.0021556216036112,501.9998652037399,0.033466657680249326,0.9869816451393609,5.561515938333226,0.0,950.0,1012.0
C-20,lc20,mt,p50,1092.0,30,2128.654580151845,2127.133333333333,0.9992853482041208,1091.9997118334093,0.07279998078889395,0.9696931707775723,12.300018335000155,0.0,2076.0,2158.0
C-20,lc20,mt,pb,2635.0,30,5095.996480017541,5094.066666666667,0.9996213079505761,2634.9978956614027,0.17566652637742686,0.9246836188506891,30.887219514999742,5.234848385703629e-05,5011.0,5142.0
C-20,lc20,mt,sc,8414.0,30,16422.972977110592,16415.666666666668,0.9995551164546086,8413.999961046296,0.5609333307364197,0.7435823501939205,73.93900767333373,0.002962617012203789,16271.0,16555.0
C-20,lc20,pb,mg,6470.0,30,12571.025530256626,12576.333333333334,1.000422225144952,6470.01999415901,0.43133466627726735,0.8299000768639508,44.134861801667284,0.000739484216385274,12488.0,12714.0
C-20,lc20,pb,p25,502.0,30,978.557267480515,979.7666666666667,1.0012359002649538,501.9998652037399,0.033466657680249326,0.9873099037185724,3.0665816216676225,0.0,945.0,1007.0
C-20,lc20,pb,p50,1092.0,30,2128.654580151845,2129.4333333333334,1.0003658429078863,1091.9997118334093,0.07279998078889395,0.9718547970508586,7.184856654999506,0.0,2076.0,2159.0
C-20,lc20,pb,pb,2635.0,30,5095.996480017541,5098.9,1.000569764911307,2634.9978956614027,0.17566652637742686,0.9320899278929442,20.007016066667955,3.2686788653761923e-05,5020.0,5189.0
C-20,lc20,pb,sc,8414.0,30,16422.972977110592,16421.166666666668,0.9998900131878411,8413.999961046296,0.5609333307364197,0.7748515635308089,40.49595703000062,0.001662488454941285,16296.0,16594.0
