UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used,vmda_group_share,scaled,share_scaled_by_vmda,fallback_all_umos
MS,C,2S2,0.11235955056179775,1,3274,0.12534936901837893,0.01408419876610999,0.01408419876610999,False
MS,C,4BD,0.011235955056179775,1,3274,0.12534936901837893,0.0014084198766109992,0.0014084198766109992,False
MS,D,2S3,0.8285714285714286,1,3274,0.07360040653849412,0.06098319398903799,0.06098319398903799,False
MS,D,3S2,0.11428571428571428,1,3274,0.07360040653849412,0.008411475032970756,0.008411475032970756,False
MS,D,3C2,0.04285714285714286,1,3274,0.07360040653849412,0.0031543031373640336,0.0031543031373640336,False
MS,D,3I2,0.014285714285714285,1,3274,0.07360040653849412,0.0010514343791213445,0.0010514343791213445,False
MS,E,3S3,0.8418674698795182,1,3274,0.22029304649784026,0.18545754968718783,0.18545754968718783,False
MS,E,3I3,0.14457831325301207,1,3274,0.22029304649784026,0.0318495970840251,0.0318495970840251,False
MS,E,3C3,0.004518072289156627,1,3274,0.22029304649784026,0.0009952999088757844,0.0009952999088757844,False
MS,E,3I1,0.004518072289156627,1,3274,0.22029304649784026,0.0009952999088757844,0.0009952999088757844,False
MS,E,3LD,0.004518072289156627,1,3274,0.22029304649784026,0.0009952999088757844,0.0009952999088757844,False
MS,F,3T4,0.9298440979955457,1,3274,0.125772846616414,0.11694913911437159,0.11694913911437159,False
MS,F,4DT,0.06904231625835189,1,3274,0.125772846616414,0.008683648652803638,0.008683648652803638,False
MS,F,4R3,0.0011135857461024498,1,3274,0.125772846616414,0.00014005884923876837,0.00014005884923876837,False
MS,G,3V5,1.0,1,3274,0.002371474548996358,0.002371474548996358,0.002371474548996358,False
MS,H,3T6,0.8614357262103506,1,3274,0.1311086643516558,0.11294168748823771,0.11294168748823771,False
MS,H,3R6,0.08597662771285476,1,3274,0.1311086643516558,0.011272280824891944,0.011272280824891944,False
MS,H,3M6,0.052587646076794656,1,3274,0.1311086643516558,0.006894696038526139,0.006894696038526139,False
