UF,CODIGO_BR,_PESADOS_TOTAL,A_C,B_C,C_C,D_C,E_C,F_C,G_C,H_C,A_D,B_D,C_D,D_D,E_D,F_D,G_D,H_D
MA,222,834.0,204.0,104.0,40.0,30.0,36.0,17.0,1.0,16.0,176.0,90.0,35.0,25.0,31.0,14.0,1.0,14.0
MA,230,658.0,57.0,45.0,29.0,16.0,44.0,21.0,2.0,69.0,76.0,60.0,39.0,20.0,58.0,27.0,3.0,92.0
MG,040,8195.0,926.0,764.0,679.0,520.0,865.0,165.0,5.0,152.0,935.0,772.0,686.0,526.0,874.0,167.0,5.0,154.0
MG,050,5449.0,477.0,491.0,436.0,304.0,552.0,193.0,7.0,299.0,465.0,479.0,425.0,296.0,538.0,189.0,7.0,291.0
MG,116,2676.0,261.0,320.0,228.0,180.0,275.0,29.0,1.0,32.0,266.0,325.0,232.0,183.0,280.0,29.0,2.0,33.0
MG,120,713.0,193.0,85.0,32.0,11.0,18.0,2.0,0.0,1.0,209.0,91.0,35.0,12.0,20.0,3.0,0.0,1.0
MG,122,3863.0,307.0,400.0,259.0,209.0,475.0,65.0,3.0,97.0,347.0,451.0,292.0,236.0,536.0,73.0,4.0,109.0
MG,135,3387.0,250.0,414.0,277.0,214.0,397.0,48.0,4.0,74.0,255.0,422.0,282.0,218.0,404.0,49.0,4.0,75.0
MG,153,4360.0,245.0,347.0,287.0,233.0,609.0,175.0,7.0,185.0,267.0,378.0,312.0,253.0,663.0,191.0,7.0,201.0
MG,259,794.0,93.0,79.0,51.0,31.0,68.0,27.0,1.0,12.0,111.0,94.0,61.0,37.0,82.0,32.0,1.0,14.0
MG,262,4120.0,612.0,469.0,285.0,151.0,334.0,116.0,2.0,96.0,609.0,466.0,283.0,151.0,332.0,116.0,2.0,96.0
MG,265,1271.0,152.0,131.0,91.0,42.0,142.0,38.0,2.0,46.0,148.0,127.0,89.0,41.0,138.0,37.0,2.0,45.0
MG,267,1240.0,241.0,153.0,81.0,42.0,83.0,28.0,1.0,6.0,230.0,146.0,78.0,40.0,79.0,27.0,0.0,5.0
MG,352,1188.0,194.0,145.0,69.0,35.0,73.0,26.0,1.0,22.0,214.0,160.0,76.0,39.0,80.0,28.0,1.0,25.0
MG,354,1632.0,170.0,160.0,117.0,51.0,199.0,64.0,0.0,45.0,174.0,164.0,119.0,52.0,204.0,66.0,1.0,46.0
MG,356,3107.0,706.0,228.0,260.0,101.0,247.0,9.0,0.0,6.0,703.0,227.0,259.0,100.0,246.0,9.0,0.0,6.0
MG,365,4880.0,448.0,375.0,396.0,236.0,506.0,194.0,9.0,336.0,426.0,357.0,377.0,225.0,482.0,185.0,9.0,319.0
MG,381,12581.0,1724.0,1192.0,1197.0,608.0,1168.0,105.0,7.0,114.0,1823.0,1260.0,1266.0,643.0,1235.0,111.0,7.0,121.0
MG,383,426.0,126.0,52.0,21.0,9.0,13.0,2.0,0.0,0.0,114.0,48.0,19.0,8.0,12.0,2.0,0.0,0.0
MG,452,1588.0,222.0,178.0,125.0,57.0,142.0,34.0,1.0,44.0,217.0,174.0,123.0,56.0,139.0,33.0,0.0,43.0
MG,460,454.0,115.0,51.0,19.0,8.0,13.0,8.0,0.0,1.0,128.0,57.0,21.0,9.0,14.0,9.0,0.0,1.0
MG,494,1115.0,203.0,151.0,64.0,23.0,65.0,8.0,1.0,3.0,234.0,174.0,74.0,27.0,75.0,9.0,1.0,3.0
MG,496,420.0,65.0,75.0,26.0,18.0,29.0,7.0,1.0,3.0,57.0,65.0,23.0,16.0,26.0,6.0,1.0,2.0
MS,060,3099.0,256.0,210.0,203.0,132.0,369.0,249.0,3.0,222.0,227.0,186.0,180.0,117.0,326.0,220.0,3.0,196.0
